epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,1270.18,0.40913,0.44433,0.92105,0.98787,1,0.995,0.80187,0.57879,0.76778,0.83241,0.00169508,0.00169508,0.00169508
156,1277.44,0.44187,0.43877,0.90051,0.9942,1,0.995,0.86736,0.71602,0.70582,1.05916,0.0016931,0.0016931,0.0016931
157,1285.08,0.42541,0.46578,0.93016,0.9942,1,0.995,0.86736,0.71602,0.70582,1.05916,0.00169112,0.00169112,0.00169112
158,1292.26,0.52362,0.5936,0.93936,0.9942,1,0.995,0.86736,0.71602,0.70582,1.05916,0.00168914,0.00168914,0.00168914
159,1299.73,0.42078,0.43321,0.89449,0.73478,1,0.9125,0.85458,0.44559,0.65917,0.84487,0.00168716,0.00168716,0.00168716
160,1312.6,0.5396,0.60173,0.904,0.73478,1,0.9125,0.85458,0.44559,0.65917,0.84487,0.00168518,0.00168518,0.00168518
161,1321.14,0.44999,0.45359,0.89399,0.97787,1,0.995,0.8955,0.5524,0.68406,0.91457,0.0016832,0.0016832,0.0016832
162,1329.8,0.43021,0.49744,0.89789,0.97787,1,0.995,0.8955,0.5524,0.68406,0.91457,0.00168122,0.00168122,0.00168122
163,1336.83,0.5535,0.61032,0.96187,0.97787,1,0.995,0.8955,0.5524,0.68406,0.91457,0.00167924,0.00167924,0.00167924
164,1343.95,0.40392,0.4328,0.96505,0.98626,1,0.995,0.92909,0.50306,0.62143,0.79785,0.00167726,0.00167726,0.00167726
165,1350.77,0.46926,0.49348,0.91263,0.98626,1,0.995,0.92909,0.50306,0.62143,0.79785,0.00167528,0.00167528,0.00167528
166,1357.56,0.43667,0.46765,0.92175,0.98626,1,0.995,0.92909,0.50306,0.62143,0.79785,0.0016733,0.0016733,0.0016733
167,1364.43,0.53816,0.56682,0.95308,0.98651,1,0.995,0.95109,0.3871,0.56147,0.72882,0.00167132,0.00167132,0.00167132
168,1372.92,0.4388,0.58049,0.90379,0.98651,1,0.995,0.95109,0.3871,0.56147,0.72882,0.00166934,0.00166934,0.00166934
169,1380.14,0.35982,0.42217,0.88411,0.98645,1,0.995,0.95109,0.44977,0.57586,0.76352,0.00166736,0.00166736,0.00166736
